SECCIO_CENSAL,HOMES,DONES,EDAT_0_A_14,EDAT_15_A_24,EDAT_25_A_64,EDAT_65_A_MES,NACIONALS,COMUNITARIS,ESTRANGERS
09076,688,834,196,122,891,313,1283,45,194
09077,738,913,206,147,922,376,1401,67,183
09078,677,769,155,134,849,308,1189,49,208
09079,794,872,183,158,929,396,1419,45,202
09080,654,693,147,104,761,335,1135,61,151
09081,828,962,235,162,1007,386,1493,61,236
09082,975,1087,282,189,1240,351,1665,103,294
09083,753,850,209,137,858,399,1346,70,187
09084,850,929,202,140,1053,384,1467,97,215
09085,821,962,185,170,1035,393,1479,84,220
09086,674,797,178,154,800,339,1193,57,221
09087,637,701,152,115,708,363,1116,65,157
09088,868,1065,219,149,1044,521,1608,68,257
09089,694,833,173,118,836,400,1232,57,238
09090,737,876,176,139,863,435,1319,72,222
09091,904,1025,211,184,1060,474,1596,49,284
09092,936,1020,198,183,1095,480,1660,66,230
09093,617,716,142,129,735,327,1166,48,119
09094,983,1080,203,208,1188,464,1703,99,261
09095,1000,1102,261,199,1217,425,1720,91,291
09156,597,678,149,72,600,454,1134,34,107
10001,782,820,167,146,933,356,1219,109,274
10002,857,914,188,135,1132,316,1398,147,226
10003,771,832,183,148,949,323,1291,88,224
10004,715,864,207,104,853,415,1304,85,190
10005,750,932,152,124,952,454,1403,68,211
10006,889,1005,218,155,1112,409,1548,99,247
10007,638,686,138,96,673,417,1185,50,89
10008,778,952,167,135,968,460,1324,125,281
10009,750,869,141,119,962,397,1282,132,205
10010,815,936,185,140,1048,378,1333,115,303
10011,552,640,110,90,716,276,981,87,124
10012,861,965,197,155,1029,445,1445,113,268
10013,638,776,164,111,827,312,1113,109,192
10014,723,829,159,119,949,325,1124,153,275
10015,934,1025,205,140,1174,440,1469,141,349
10016,611,640,111,105,722,313,999,79,173
10017,772,921,184,144,897,468,1322,95,276
10018,693,774,159,127,909,272,1056,131,280
10019,752,861,153,113,942,405,1335,90,188
10020,707,769,158,112,786,420,1195,60,221
10021,668,724,166,132,786,308,1123,74,195
